,texto,id,preds,probs
123602,ELABORACION Y VENTAS DE EMPANADAS. POR MENOR Y MAYOR,123602,3.0,0.9860013358721574
165061,SERVICIO DE MAESTRO CARPINTERO EN REPARACION DE VIVIENDAS A PARTICULARES,165061,6.0,0.9996287437854573
154065,CONSULTORIO DE SALUD FAMILIAR,154065,17.0,0.9984040660653118
13098,FCA  ALIMENTOS   DESHIDRATADOS   FRUTAS   PURE  DE FRUTA   FRUTOS SECOS    SU VENTA  X MAYOR,13098,3.0,0.9900188856713712
153460,GENDARMERIA  DE  CHILE,153460,15.0,0.99158906531438
119930,CULTIVO DE ARANDANOS,119930,1.0,0.995343279917384
33692,VENTA DE AGUA DE VERTIENTE AL DETALLE,33692,7.0,0.8784042933363505
54618,(CONSTRUCCION TUNEL ) MINISTERIO DE OBRAS PUBLICAS,54618,15.0,0.9962093525219069
111535,CONSTRUCCION PISCINAS A PARTICULARES,111535,6.0,0.9859825038486022
114307,VENTA DE ASTILLAS COMERCIO MINORISTAS (COMPRA Y VENTA),114307,7.0,0.9989161299475225
141576,EXTRACCION DE COBRE,141576,2.0,0.999539887273541
65613,ESCUELA MUNICIPAL PRE-BASICA Y BASICA,65613,16.0,0.9999890180070412
140500,SERVICIO ENCARGADO DE COORDINAR LAS POLITICAS PUBLICAS DE JUVENTUD,140500,15.0,0.8766442242961499
172335,SUPERMERCADO  CADENA NACIONAL  VENTA AL MENOR,172335,7.0,0.9967127273505548
126790,MUNICIPALIDAD,126790,15.0,0.9845515394912127
76208,VENTA  DE   ROPA  POR  CATALOGO   A  PEDIDO  AL  POR  MENOR,76208,7.0,0.9917822531774175
37557,ELABORACION DE ASTILLAS DE PINO,37557,1.0,0.7423806301408449
116215,B) SERMI SECRTARIA REGIONAL MINISTERIAL ( VIVIENDAS URBANISMO),116215,15.0,0.9848033231003883
116480,VENTA DE  ROPA USADA  EN FERIA  LIBRE  (VARON MUJER  NIÑO ) POLERONES  JEANS  PARKAS  JUEGUETES  COMERCIO MINORISTA,116480,7.0,0.999639473726438
164647,CONSTRUCCION DE VIVIENDAS,164647,6.0,0.9961613100030918
37381,SEDE SOCIAL COMUNITARIA PRIVADA,37381,17.0,0.9745834927049342
163793,DISEÑO Y FABRICACION DE ENVASES DE CARTON,163793,3.0,0.99879391597519
130872,EDIFICIO  HABITACIONAL,130872,19.0,0.975000473362837
182226,ELABORACION DE PASTELES,182226,3.0,0.9830854268069267
183811,E OFICINA DE SERVICIO DE INGRESO DE DATOS DE CLIENTES A SISTEMA DE LA EMPRESA DE COMPUITACION,183811,14.0,0.4917090279387849
21168,SERVICIO DE ALOJAMIENTO Y GASTRONOMICO,21168,9.0,0.9476326682779392
60541,VENTA DE VACUNOS POR MAYOR,60541,7.0,0.905008570238645
171029,SERVICIO DE  PINTURA CON BROCHA  GORDA  A DOMICILIO,171029,6.0,0.9935429257410715
53397,CULTIVO  DE  CLAVELES  BAJO  NAVE,53397,1.0,0.9938954722292566
