texto,id,preds,probs
ELABORACION Y VENTAS DE EMPANADAS. POR MENOR Y MAYOR,123602,10,0.907516598701477
SERVICIO DE MAESTRO CARPINTERO EN REPARACION DE VIVIENDAS A PARTICULARES,165061,53,0.7043576240539551
CONSULTORIO DE SALUD FAMILIAR,154065,39,0.9126229882240295
FCA  ALIMENTOS   DESHIDRATADOS   FRUTAS   PURE  DE FRUTA   FRUTOS SECOS    SU VENTA  X MAYOR,13098,10,0.9178521633148193
GENDARMERIA  DE  CHILE,153460,82,0.9415494799613953
CULTIVO DE ARANDANOS,119930,56,0.935249388217926
VENTA DE AGUA DE VERTIENTE AL DETALLE,33692,1,0.8989949226379395
(CONSTRUCCION TUNEL ) MINISTERIO DE OBRAS PUBLICAS,54618,82,0.9359380006790161
CONSTRUCCION PISCINAS A PARTICULARES,111535,53,0.6302411556243896
VENTA DE ASTILLAS COMERCIO MINORISTAS (COMPRA Y VENTA),114307,1,0.6903507709503174
EXTRACCION DE COBRE,141576,86,0.913165807723999
ESCUELA MUNICIPAL PRE-BASICA Y BASICA,65613,59,0.9613403677940369
SERVICIO ENCARGADO DE COORDINAR LAS POLITICAS PUBLICAS DE JUVENTUD,140500,82,0.9103647470474243
SUPERMERCADO  CADENA NACIONAL  VENTA AL MENOR,172335,1,0.9640933275222778
MUNICIPALIDAD,126790,82,0.9438021779060364
VENTA  DE   ROPA  POR  CATALOGO   A  PEDIDO  AL  POR  MENOR,76208,1,0.9653635621070862
ELABORACION DE ASTILLAS DE PINO,37557,42,0.7387521862983704
B) SERMI SECRTARIA REGIONAL MINISTERIAL ( VIVIENDAS URBANISMO),116215,82,0.9328073859214783
VENTA DE  ROPA USADA  EN FERIA  LIBRE  (VARON MUJER  NIÑO ) POLERONES  JEANS  PARKAS  JUEGUETES  COMERCIO MINORISTA,116480,1,0.9653891324996948
CONSTRUCCION DE VIVIENDAS,164647,77,0.9355936050415039
SEDE SOCIAL COMUNITARIA PRIVADA,37381,2,0.5578024983406067
DISEÑO Y FABRICACION DE ENVASES DE CARTON,163793,69,0.7820591330528259
EDIFICIO  HABITACIONAL,130872,2,0.848223090171814
ELABORACION DE PASTELES,182226,10,0.9278877377510071
E OFICINA DE SERVICIO DE INGRESO DE DATOS DE CLIENTES A SISTEMA DE LA EMPRESA DE COMPUITACION,183811,30,0.5250657796859741
SERVICIO DE ALOJAMIENTO Y GASTRONOMICO,21168,16,0.7958115339279175
VENTA DE VACUNOS POR MAYOR,60541,1,0.8133412599563599
SERVICIO DE  PINTURA CON BROCHA  GORDA  A DOMICILIO,171029,53,0.8672989010810852
CULTIVO  DE  CLAVELES  BAJO  NAVE,53397,56,0.9328327775001526
SERVICIO DE CLASES PARTICULARES A DOMICILIO DE LENGUAJE Y MATEMATICA EDUCACION BASICA,163993,59,0.9599756598472595
BANCO PRIVADO,42102,35,0.8814134001731873
ELABORACION DE MASAS DULCES Y SALADAS A BASE DE HARINA DE TRIGO,138562,10,0.9208075404167175
SERVICIO DE REPARTOSY ENTREGA DE CORRESPONDENCIAS CARGA Y ENCOMIENDAS A DESTINATARIOS VIA TERRESTRE CONSECIONARIA,180001,20,0.636843740940094
