,texto,id,preds,probs
123602,ELABORACION Y VENTAS DE EMPANADAS. POR MENOR Y MAYOR,123602,10,0.9236471749301498
165061,SERVICIO DE MAESTRO CARPINTERO EN REPARACION DE VIVIENDAS A PARTICULARES,165061,43,0.7808296824361827
154065,CONSULTORIO DE SALUD FAMILIAR,154065,86,0.9999257440377367
13098,FCA  ALIMENTOS   DESHIDRATADOS   FRUTAS   PURE  DE FRUTA   FRUTOS SECOS    SU VENTA  X MAYOR,13098,10,0.9836532852721205
153460,GENDARMERIA  DE  CHILE,153460,84,0.9996025240210629
119930,CULTIVO DE ARANDANOS,119930,1,0.9986178804993301
33692,VENTA DE AGUA DE VERTIENTE AL DETALLE,33692,48,0.6516288500851658
54618,(CONSTRUCCION TUNEL ) MINISTERIO DE OBRAS PUBLICAS,54618,84,0.9899625512080078
111535,CONSTRUCCION PISCINAS A PARTICULARES,111535,43,0.7011849295387746
114307,VENTA DE ASTILLAS COMERCIO MINORISTAS (COMPRA Y VENTA),114307,48,0.9998161319267074
141576,EXTRACCION DE COBRE,141576,4,0.9996503682177181
65613,ESCUELA MUNICIPAL PRE-BASICA Y BASICA,65613,85,0.9999489963840825
140500,SERVICIO ENCARGADO DE COORDINAR LAS POLITICAS PUBLICAS DE JUVENTUD,140500,84,0.9988523568559564
172335,SUPERMERCADO  CADENA NACIONAL  VENTA AL MENOR,172335,48,0.9981021371272629
126790,MUNICIPALIDAD,126790,84,0.9982774321862028
76208,VENTA  DE   ROPA  POR  CATALOGO   A  PEDIDO  AL  POR  MENOR,76208,48,0.9998149908016757
37557,ELABORACION DE ASTILLAS DE PINO,37557,16,0.5063816066288256
116215,B) SERMI SECRTARIA REGIONAL MINISTERIAL ( VIVIENDAS URBANISMO),116215,84,0.9581634944117802
116480,VENTA DE  ROPA USADA  EN FERIA  LIBRE  (VARON MUJER  NIÑO ) POLERONES  JEANS  PARKAS  JUEGUETES  COMERCIO MINORISTA,116480,48,0.9999999468744681
164647,CONSTRUCCION DE VIVIENDAS,164647,41,0.9987885271057747
37381,SEDE SOCIAL COMUNITARIA PRIVADA,37381,88,0.8773231523392582
163793,DISEÑO Y FABRICACION DE ENVASES DE CARTON,163793,17,0.49180217746696053
130872,EDIFICIO  HABITACIONAL,130872,94,0.982589689648573
182226,ELABORACION DE PASTELES,182226,10,0.976657848956773
183811,E OFICINA DE SERVICIO DE INGRESO DE DATOS DE CLIENTES A SISTEMA DE LA EMPRESA DE COMPUITACION,183811,81,0.14691371387151136
21168,SERVICIO DE ALOJAMIENTO Y GASTRONOMICO,21168,55,0.5882389912751412
60541,VENTA DE VACUNOS POR MAYOR,60541,48,0.8423804918469951
171029,SERVICIO DE  PINTURA CON BROCHA  GORDA  A DOMICILIO,171029,43,0.9982213140531225
53397,CULTIVO  DE  CLAVELES  BAJO  NAVE,53397,1,0.9981928740472721
163993,SERVICIO DE CLASES PARTICULARES A DOMICILIO DE LENGUAJE Y MATEMATICA EDUCACION BASICA,163993,85,0.9999886099753844
42102,BANCO PRIVADO,42102,64,0.9998742205206284
138562,ELABORACION DE MASAS DULCES Y SALADAS A BASE DE HARINA DE TRIGO,138562,10,0.8274294140680888
180001,SERVICIO DE REPARTOSY ENTREGA DE CORRESPONDENCIAS CARGA Y ENCOMIENDAS A DESTINATARIOS VIA TERRESTRE CONSECIONARIA,180001,53,0.9977878344947231
106748,"VENTA DE PERFUMES , LAPIZ LABIAL PINTURAS DE UÑAS POR MENOR",106748,48,0.9694208884848351
112448,SERVICIOS  SOCIALES  CERTIFICACION  DE  SUELOS  MUESTRAS  DE  FIERROS  SUELOS  A  DISTINTAS  EMPRESAS  CONSTRUCTORAS,112448,71,0.5852373535951811
137733,PREPARACION DE  SANDWICH PARA  SU POSTERIOR  VENTA EN FORMA  AMBULANTE  X  MENOR,137733,56,0.9870389431597012
163441,IMPARTIR EDUCACION BASICA Y MEDIO TECNICO PROFESIONAL,163441,85,0.9999992812550794
10924,EDIFICIO   COMERCIAL,10924,68,0.8799654058799422
43276,OFICINA   DE   ABOGADOS,43276,69,0.9758813014316544
6897,MUNICIPALIDAD,6897,84,0.9982774321862028
176634,"ARREGLO DE  MAQUINARIA AGRICOLA TALLER MECANICO TRACTORES TRILLADORAS, MAQUINAS DE CORTAR PASTO A MOTOR",176634,33,0.8897469055344198
23896,APUESTAS DE CARRERA DE CABALLOS ( CLUB HÍPICO ),23896,92,0.981317626510416
