texto_ciuo,id,preds,probs
asistente contable auditoria,61571,3,0.6320921778678894
dueño local comida,48661,5,0.8519009947776794
profesora particular,60651,2,0.9673743844032288
junior,42055,9,0.9587935209274292
ayudante vidriero corta vidrios coloca vidrios ventanas limpeiza local,24568,9,0.7223048210144043
ingeniera administracion asiste reuniones se encarga libros contabilidad empresa renumeraciones pago trabajadores,28348,2,0.9503554701805115
profesor musica enseña tocar violin niños jovenes,19204,2,0.9664488434791565
dueño negocio abarrotes,63903,5,0.9268076419830322
comerciante dueño negocio administrar negocio abarrotes vende atender publico compra proveedores,20434,5,0.9227548241615295
obrero agricola,52415,9,0.9515258073806763
