ID,clase,prob,modelo
123602,10,0.9438171921429483,SVM_caenes2d.csv
165061,43,0.7808296824361827,MLP_caenes2d.csv
154065,86,0.9999257440377368,MLP_caenes2d.csv
13098,10,0.9929789531442434,SVM_caenes2d.csv
153460,84,0.9996025240210628,MLP_caenes2d.csv
119930,1,0.99861788049933,MLP_caenes2d.csv
33692,1,0.8989951014518738,BERT_caenes2d.csv
54618,84,0.9899625512080078,MLP_caenes2d.csv
111535,43,0.7830838683551969,SVM_caenes2d.csv
114307,48,0.9998161319267074,MLP_caenes2d.csv
141576,4,0.999650368217718,MLP_caenes2d.csv
65613,85,0.9999489963840824,MLP_caenes2d.csv
140500,84,0.9988523568559564,MLP_caenes2d.csv
172335,48,0.9981021371272628,MLP_caenes2d.csv
126790,84,0.9982774321862028,MLP_caenes2d.csv
76208,48,0.9998149908016756,MLP_caenes2d.csv
37557,2,0.7511799115743107,SVM_caenes2d.csv
116215,84,0.9800558203939492,SVM_caenes2d.csv
116480,48,0.999999946874468,MLP_caenes2d.csv
164647,41,0.9987885271057748,MLP_caenes2d.csv
37381,88,0.8773231523392582,MLP_caenes2d.csv
163793,17,0.907506524024326,SVM_caenes2d.csv
130872,94,0.982589689648573,MLP_caenes2d.csv
182226,10,0.976657848956773,MLP_caenes2d.csv
183811,30,0.5250657796859741,BERTcaenes2d.csv
21168,55,0.9135063467991668,SVM_caenes2d.csv
60541,48,0.9101106743165224,SVM_caenes2d.csv
171029,43,0.9982213140531224,MLP_caenes2d.csv
53397,1,0.998192874047272,MLP_caenes2d.csv
163993,85,0.9999970455674384,SVM_caenes2d.csv
42102,64,0.9998742205206284,MLP_caenes2d.csv
138562,10,0.9692984939322878,SVM_caenes2d.csv
180001,53,0.9977878344947232,MLP_caenes2d.csv
106748,48,0.980579865471522,SVM_caenes2d.csv
112448,71,0.8914309515669768,SVM_caenes2d.csv
137733,56,0.9870389431597012,MLP_caenes2d.csv
163441,85,0.9999992812550794,MLP_caenes2d.csv
10924,68,0.8799654058799422,MLP_caenes2d.csv
43276,69,0.9778261509071872,SVM_caenes2d.csv
6897,84,0.9982774321862028,MLP_caenes2d.csv
176634,33,0.8897469055344198,MLP_caenes2d.csv
23896,92,0.981317626510416,MLP_caenes2d.csv
5805,85,0.9999941022468212,MLP_caenes2d.csv
121075,31,0.9656092326590646,MLP_caenes2d.csv
483,56,0.999474403922322,SVM_caenes2d.csv
67773,86,0.9981629219661295,MLP_caenes2d.csv
144139,56,0.8970013856887817,BERTcaenes2d.csv
122826,84,0.99657620159011,MLP_caenes2d.csv
46041,1,0.9999572430599578,MLP_caenes2d.csv
62871,1,0.9934247189102404,MLP_caenes2d.csv
87512,48,0.9988373059655974,MLP_caenes2d.csv
16351,4,0.999650368217718,MLP_caenes2d.csv
129525,84,0.9949633647037872,MLP_caenes2d.csv
132427,41,0.995012209361251,MLP_caenes2d.csv
158671,84,0.9956148995576602,SVM_caenes2d.csv
143142,10,0.9713845690283116,SVM_caenes2d.csv
108217,31,0.9994936208582622,MLP_caenes2d.csv
87807,10,0.9898081351590772,MLP_caenes2d.csv
54144,36,0.999755255940526,MLP_caenes2d.csv
151661,1,0.9439064264297484,BERTcaenes2d.csv
129126,84,0.9955136331934704,MLP_caenes2d.csv
71964,85,0.9968146817869972,SVM_caenes2d.csv
181821,1,0.9998625735026831,MLP_caenes2d.csv
22990,14,0.7317655153315749,MLP_caenes2d.csv
35100,77,0.9221885800361632,BERTcaenes2d.csv
74147,1,0.9959400438603262,MLP_caenes2d.csv
89837,10,0.8425639271736145,BERTcaenes2d.csv
11756,64,0.9998742205206284,MLP_caenes2d.csv
66085,62,0.998675310130678,SVM_caenes2d.csv
131626,49,0.9999783955486314,MLP_caenes2d.csv
53882,52,0.9990363941407568,MLP_caenes2d.csv
127341,41,0.7045253399754878,MLP_caenes2d.csv
13544,1,0.9528021116324646,SVM_caenes2d.csv
19364,85,0.9999999252813006,MLP_caenes2d.csv
163783,1,0.8437575759638165,SVM_caenes2d.csv
15633,41,0.7413195865145428,MLP_caenes2d.csv
4121,84,0.9985786736136216,MLP_caenes2d.csv
142777,1,0.999962150649406,MLP_caenes2d.csv
85896,48,0.9999048418357586,MLP_caenes2d.csv
134557,48,0.9954419472325025,MLP_caenes2d.csv
26324,59,0.6856096982955933,BERTcaenes2d.csv
178198,61,0.9999990109941994,MLP_caenes2d.csv
149467,48,0.9850939913305028,MLP_caenes2d.csv
44768,48,0.9757345049393288,SVM_caenes2d.csv
72738,1,0.9658487149471754,MLP_caenes2d.csv
77421,3,0.727105734477249,MLP_caenes2d.csv
95371,48,0.9954419472325025,MLP_caenes2d.csv
117653,84,0.9997865917472774,MLP_caenes2d.csv
52083,85,0.9990406956982292,MLP_caenes2d.csv
182649,84,0.9679981563380612,SVM_caenes2d.csv
127465,1,0.9624040126800536,BERTcaenes2d.csv
163398,86,0.9921259454608738,SVM_caenes2d.csv
129461,73,0.7977234495426315,MLP_caenes2d.csv
72230,1,0.9277990460395812,BERTcaenes2d.csv
18703,45,0.9704423283491864,MLP_caenes2d.csv
76788,48,0.9999780943416204,MLP_caenes2d.csv
75680,84,0.9999834211699627,MLP_caenes2d.csv
166847,81,0.999766764732762,MLP_caenes2d.csv
148622,4,0.999726370651268,MLP_caenes2d.csv
108844,45,0.9999419189122996,SVM_caenes2d.csv
