,texto_ciuo,id,preds,probs
61571,asistente contable auditoria,61571,24.0,0.3917795802447842
48661,dueño local comida,48661,14.0,0.6336070724339152
60651,profesora particular,60651,23.0,0.9516728192859858
42055,junior,42055,96.0,0.9542922986533457
24568,ayudante vidriero corta vidrios coloca vidrios ventanas limpeiza local,24568,93.0,0.9371745519482775
28348,ingeniera administracion asiste reuniones se encarga libros contabilidad empresa renumeraciones pago trabajadores,28348,24.0,0.9835429953399877
19204,profesor musica enseña tocar violin niños jovenes,19204,23.0,0.9712170168054673
63903,dueño negocio abarrotes,63903,52.0,0.45505707555501607
20434,comerciante dueño negocio administrar negocio abarrotes vende atender publico compra proveedores,20434,52.0,0.7028777429475591
52415,obrero agricola,52415,92.0,0.9867598785090106
